HugoSymbol	grch38RefSeq	grch38Isoform
HRAS	NM_005343.2	ENST00000451590
HSD17B2	NM_002153	ENST00000199936
HSD3B1	NM_000862	ENST00000369413
HSP90AA1	NM_005348	ENST00000216281
HTATIP2	NM_001098521	ENST00000421577
ICOSLG	NM_015259.4	ENST00000407780
ID1	NM_002165	ENST00000376112
ID3	NM_002167.4	ENST00000374561
IDH1	NM_005896.2	ENST00000345146
IDH2	NM_002168.2	ENST00000330062
IFNAR1	NM_000629	ENST00000270139
IFNGR1	NM_000416.2	ENST00000367739
IGF1	NM_001111285.1	ENST00000307046
IGF1R	NM_000875.3	ENST00000650285
IGF2	NM_001127598.1	ENST00000434045
IKBKE	NM_014002.3	ENST00000581977
IKZF1	NM_006060.6	ENST00000331340
IKZF3	NM_012481.4	ENST00000346872
IL10	NM_000572.2	ENST00000423557
IL2RA	NM_000417.3	ENST00000379959
IL3	NM_000588.3	ENST00000296870
IL6ST		ENST00000381298
IL7R	NM_002185.3	ENST00000303115
ING1	NM_005537	ENST00000375774
INHA	NM_002191.3	ENST00000243786
INHBA	NM_002192.2	ENST00000242208
INPP4A		ENST00000409851
INPP4B	NM_001101669.1	ENST00000262992
INPPL1	NM_001567.3	ENST00000298229
INSR	NM_000208.2	ENST00000302850
INTS6	NM_012141	ENST00000311234
IQGAP1	NM_003870	ENST00000268182
IRF1	NM_002198.2	ENST00000245414
IRF2	NM_002199	ENST00000393593
IRF4	NM_002460.3	ENST00000380956
IRF8	NM_002163.2	ENST00000268638
IRS1	NM_005544.2	ENST00000305123
IRS2	NM_003749.2	ENST00000375856
ITPKB	NM_002221	ENST00000272117
JAK1	NM_002227.2	ENST00000342505
JAK2	NM_004972.3	ENST00000381652
JAK3	NM_000215.3	ENST00000458235
JARID2	NM_004973.3	ENST00000341776
JAZF1	NM_175061.4	ENST00000283928
JUN	NM_002228.3	ENST00000371222
KAT6A	NM_006766.4	ENST00000265713
KAT7	NM_007067	ENST00000259021
KBTBD4		ENST00000430070
KDM5A	NM_001042603.1	ENST00000399788
KDM5C	NM_004187.3	ENST00000375401
KDM5D	NM_004653	ENST00000317961
KDM6A	NM_021140.2	ENST00000377967
KDR	NM_002253.2	ENST00000263923
KDSR	NM_002035.4	ENST00000645214
KEAP1	NM_203500.1	ENST00000171111
KEL	NM_000420	ENST00000355265
KIAA1549	NM_001164665.2	ENST00000422774
KIT	NM_000222.2	ENST00000288135
KLF2	NM_016270.2	ENST00000248071
KLF3	NM_016531.5	ENST00000261438
KLF4	NM_004235.4	ENST00000374672
KLF5	NM_001730.4	ENST00000377687
KLHL6	NM_130446	ENST00000341319
KMT2A	NM_001197104.1	ENST00000534358
KMT2B	NM_014727.3	ENST00000420124
KMT2C	NM_170606.2	ENST00000262189
